server_name,server_id,latency,jitter,packet_loss,download,upload,download_bytes,upload_bytes,share_url
"fdcservers.net - Houston, TX","26652","115.918","22.303","N/A","63238","65591","805437","828644","https://www.speedtest.net/result/c/e77fef03-825f-4c2c-b67d-779e4fce2b03"
"CenturyLink - Houston, TX","10151","60.975","5.255","0","1822740","255444","20503262","2845124","https://www.speedtest.net/result/c/4f7f1955-9117-49b0-8094-c6bf94d21596"
"Comcast - Houston, TX","1763","44.859","12.184","N/A","1841659","235618","20435778","1196570","https://www.speedtest.net/result/c/8fa5eea7-ce58-4195-91bc-426b5156bcbc"
"Tachus Fiber Internet - Kingwood, TX","31015","45.948","6.758","0","59279","69385","729750","859020","https://www.speedtest.net/result/c/410dc866-2da9-4beb-8967-746a6472e28e"
"PS Lightwave, Inc - Houston, TX","25206","42.963","5.026","0","63439","64704","746770","711666","https://www.speedtest.net/result/c/084ed135-c235-4cc5-a1bd-6111a9924e5f"
"Comcast - Houston, TX","1763","42.983","5.974","N/A","1976019","260441","21988746","3633786","https://www.speedtest.net/result/c/b77609de-d4d6-4d16-8aeb-e16a7fe3d0a0"
"Comcast - Houston, TX","1763","42.925","24.83","N/A","1620647","262298","20856030","1137250","https://www.speedtest.net/result/c/8838fa88-9c08-4e79-9386-49ff917ea8a3"
"Comcast - Houston, TX","1763","42.116","7.73","N/A","2342718","341495","32622772","4904312","https://www.speedtest.net/result/c/1ddeed32-3b57-4ef1-b386-ab4364f3e593"
"Tachus Fiber Internet - Kingwood, TX","31015","48.962","5.269","0","63986","68017","789520","669980","https://www.speedtest.net/result/c/21e923f0-fac8-44f5-9780-0d185036eba4"
"Comcast - Houston, TX","1763","41.952","17.507","N/A","1684142","280880","21915712","1325636","https://www.speedtest.net/result/c/9d4454ad-4c62-4949-aa25-1281dbcc20ac"
"fdcservers.net - Houston, TX","26652","48.873","7.31","N/A","66165","61516","797234","739986","https://www.speedtest.net/result/c/eee5c186-24fd-4ebc-976c-e44718131d0a"
"Tachus Fiber Internet - Kingwood, TX","31015","96.977","6.474","0","61746","70742","707343","938250","https://www.speedtest.net/result/c/bd27b99d-c23a-49ee-925c-84eae2d4a92a"
"En-Touch Systems Inc. - Houston, TX","11772","43.959","7.316","0","2661606","282021","23946884","1395458","https://www.speedtest.net/result/c/eced5d1e-7f42-4c2f-bcd4-43bbcf90f5cb"
"fdcservers.net - Houston, TX","26652","62.846","19.578","N/A","64308","61862","810038","809428","https://www.speedtest.net/result/c/6cb2342d-a0d0-46ef-addf-c8a6a597fbb9"
